telegram_msg_id,session_id,created_at
108,v_1775844068112_f6lwsn6o,2026-04-10 19:01:28.233874+00
114,v_1775844068112_f6lwsn6o,2026-04-10 19:02:17.89363+00
115,v_1775844068112_f6lwsn6o,2026-04-10 19:03:11.702713+00
117,v_1775846794102_ow93qkst,2026-04-10 19:04:03.500817+00
120,v_1775846794102_ow93qkst,2026-04-10 19:05:40.318905+00
124,v_1775844082357_lonoolt6,2026-04-10 19:08:40.447994+00
128,v_1775845904842_cte3tg3y,2026-04-10 19:15:38.178879+00
131,v_1775845904842_cte3tg3y,2026-04-10 19:17:28.236992+00
136,v_1775845904842_cte3tg3y,2026-04-10 19:20:08.752491+00
138,v_1775845904842_cte3tg3y,2026-04-10 19:20:18.762965+00
144,v_1775845904842_cte3tg3y,2026-04-10 19:22:00.120677+00
147,v_1775845904842_cte3tg3y,2026-04-10 19:22:30.097671+00
148,v_1775845904842_cte3tg3y,2026-04-10 19:22:40.66134+00
153,v_1775845904842_cte3tg3y,2026-04-10 19:24:02.180548+00
164,v_1775845904842_cte3tg3y,2026-04-10 19:24:38.038552+00
166,v_1775845904842_cte3tg3y,2026-04-10 19:25:11.049573+00
167,v_1775845904842_cte3tg3y,2026-04-10 19:25:16.457216+00
170,v_1775845904842_cte3tg3y,2026-04-10 19:25:50.841695+00
171,v_1775845904842_cte3tg3y,2026-04-10 19:26:04.906668+00
172,v_1775845904842_cte3tg3y,2026-04-10 19:26:36.535172+00
173,v_1775845904842_cte3tg3y,2026-04-10 19:27:23.936845+00
174,v_1775845904842_cte3tg3y,2026-04-10 19:28:08.028548+00
175,v_1775845904842_cte3tg3y,2026-04-10 19:28:34.985413+00
176,v_1775845904842_cte3tg3y,2026-04-10 19:28:43.747752+00
178,v_1775844068112_f6lwsn6o,2026-04-10 19:50:43.71373+00
186,v_1775844068112_f6lwsn6o,2026-04-10 19:51:19.807882+00
187,v_1775844068112_f6lwsn6o,2026-04-10 19:51:21.574276+00
188,v_1775844068112_f6lwsn6o,2026-04-10 19:51:23.253609+00
190,v_1775844124596_jqnon05s,2026-04-10 20:13:48.452788+00
191,v_1775844124596_jqnon05s,2026-04-10 20:14:20.106274+00
210,v_1775844124596_jqnon05s,2026-04-11 04:44:49.351623+00
213,v_1775844124596_jqnon05s,2026-04-11 05:12:39.925695+00
215,v_1775907939051_5q1hvkfr,2026-04-11 11:46:04.719018+00
242,v_1775924758531_6ojvfjbo,2026-04-11 19:56:33.591855+00
265,v_1775924758531_6ojvfjbo,2026-04-11 20:47:40.803575+00
267,v_1775924758531_6ojvfjbo,2026-04-11 20:50:37.360557+00
314,v_1775924758531_6ojvfjbo,2026-04-13 14:15:22.913353+00
